Név,Útszakasz
Czollner köz,7
Czollner tér,2
C zóna déli,1
C zóna északi,1
Czotter Aladár utca,1
Czuczor Gergely utca,34
Czuczor János utca,1
Czuczor szigeti út,3
Czuczor utca,11
Daágh utca,2
Dabasi dűlő,2
Dabasi ipari park,5
Dabasi utca,2
Dabas utca,1
Dabi körút,2
Dabi-sziget út,1
Dabisziget út,1
Dabi Új utca,1
Dabronyi utca,1
Daday Kálmán utca,1
Dadi utca,5
Dádpuszta,3
Dagálysétány utca,2
Dagály utca,10
Dági utca,4
Daimler út,7
Dajka dűlő,3
Dajka utca,1
Dákai utca,3
"""D"" alagút",2
Dalai láma út,3
Dala József utca,1
Dalárda utca,4
Dália dűlő,1
Dália köz,4
Dália út,3
Dália utca,42
Dalkör utca,1
Dallam köz,1
Dallamos utca,2
Dallam utca,3
Dallos köz,2
Dallos Sándor utca,1
Dallos utca,1
Dalmady Győző utca,8
Dalmata utca,1
Dalmát utca,1
Dalma út,1
Dalnoki Jenő utca,1
Dalnok utca,2
Dalos utca,13
Dalszínház utca,3
Dal utca,1
Dámányadacs tanya,1
Damjanich dűlő,1
Damjanich János tér,2
Damjanich János út,42
Damjanich János utca,158
Damjanich köz,3
Damjanich park,2
Damjanich tér,9
Damjanich út,50
Damjanich utca,512
Dám utca,3
Dámvad köz,1
Dámvad utca,6
Danckai utca,1
Dancza utca,1
Danczka köz,1
Dandár köz,2
Dandár utca,10
Dandó köz,1
Dániel köz,2
Dániel út,4
Dániel utca,4
Danitz puszta,1
Dáni utca,5
Dankasirály utca,2
Dankóbokor,7
Dankó István utca,9
Dankó köz,3
Dankó Pista köz,1
Dankó Pista telep,7
Dankó Pista tér,2
Dankó Pista út,24
Dankó Pista utca,167
Dankótanya,3
Dankótelep,2
Dankó telep,11
Dankótelep út,1
Dankótelep utca,1
Dankó tér,1
Dankó újtelep,1
Dankó út,11
Dankó utca,71
Danlos,2
Dánosi dűlő,1
Dánosi út,1
Dánosi utca,5
Dánszentmiklósi út,1
Dante utca,1
Danubius utca,3
Dányádi utca,1
Dányi út,1
Danyi völgy,1
Dapsay Dapsy Sámuel utca,1
Dapsy Gizella utca,2
Dapsy László utca,2
Darab dűlő,1
Darabos dűlő,4
Darabos Sándor utca,3
Darabos utca,5
Darab utca,3
Daráló sor,1
Darálósor út,1
Daráló utca,2
Darányi Ignác utca,14
Darányi utca,9
Darassa tanya,1
Dara utca,3
Darázs dűlő,19
Darazsé dűlő,1
Darázshegy utca,4
Darázsi utca,1
Darázsoki feljáró,1
Darázs út,1
Darázs utca,17
Dárdai köz,1
Dárdás utca,1
Dárda utca,21
Darida József utca,1
Dáridó utca,1
Darling utca,1
Darma utca,1
Darnay Kálmán tér,4
Darnay Kálmán utca,2
Darnay köz,1
Darnay utca,1
Darnói utca,3
Darnó utca,2
Daróci utca,2
Daróczi Ambrus utca,1
Daróczi Gusztáv utca,1
Daróczi köz,7
Daróczi út,6
Daróczi Vilmos utca,1
Dáró utca,1
Daru dűlő,4
Darufalvi utca,1
Darukezelő utca,1
Darupálya út,1
Darupiac tér,4
Daru sor,1
Darus utca,1
Darusziget utca,1
Daru út,3
Daru utca,47
Daru zug,2
Darvas József utca,1
Darvaskert,1
Darvas László utca,1
Darvassy István utca,6
Darvas Tanya,1
Darvas tér,3
Darvas út,2
Darvas utca,9
Darwin Károly utca,1
Darwin utca,1
Datolya utca,4
Dávid dűlő,2
Dávid Ferenc utca,3
Dávidházi Sámuel utca,1
Dávid köz,4
Dávid sor,1
Dávid utca,4
Dávodpuszta,1
Dayka Gábor utca,8
Dayka Gábor utcai felüljáró,1
Dayka tér,1
Deák Ferenc híd,6
Deák Ferenc körút,5
Deák Ferenc köz,9
Deák Ferenc sétány,12
Deák Ferenc tér,61
Deák Ferenc út,71
Deák Ferenc utca,909
Deák Imre utca,1
Deáki utca,3
Deák körút,3
Deák köz,5
Deákkúti út,4
Deák tér,22
Deák út,8
Deák utca,39
Deákvári fasor,1
Deákvári főtér,7
Deákvári főút,5
Debercsény utca,3
Deber utca,1
Debinszky utca,1
Deborah sétány,1
Debrecen Déli elkerülő út,10
Debreceni lejáró,1
Debreceni Márton utca,4
Debreceni út,103
Debreceni utca,45
Debrecen-Józsa kerékpárút,1
Debrecen park,5
Debrecen utca,5
Debreczeni Márton tér,4
Debreczeni utca,1
Debreczenyi Gyula utca,2
Debreczenyi Imre utca,1
Debrőbokor,5
Debrői köz,2
Debrői utca,4
Debrő utca,1
December 8. tér,7
Décseri utca,1
Décsi József utca,3
Decsi utca,1
Décsi utca,1
DECUMANA (K-NYI-i római castrum útja),1
Dédai utca,2
Dédényszegi utca,1
Dédes köz,1
Dede zug,1
Dedics Ferenc utca,1
Dedinszky Gyula utca,1
Deési Pál út,1
Deési út,1
Deés utca,3
Degen Árpád sétány,2
Degenfeld-kastély,4
Dégenfeld utca,1
Dégi út,1
Degré Alajos utca,2
Degré utca,10
Dehény Lajos utca,1
Dehmel Nándor sétány,4
Deininger Imre utca,1
Dékán dűlő,1
Dekáni Árpád utca,1
Dékán utca,2
Dékány dűlő,1
Dékány József út,1
Dékány Kálmán utca,1
Dékány köz,1
Delavári utca,1
Dél-Békési utca,2
Délceg utca,8
Delcsev utca,2
Delden tér,2
Delej utca,7
Delelő üdülő-sor,3
Delelő utca,6
Delfin utca,2
Deli Antal utca,3
Délibáb köz,2
Délibáb út,3
Délibáb utca,48
Déli-bekötő út,1
Delicses köz,1
Delicsesz utca,1
Déli dűlő,1
Déli elkerülő,2
Déli elkerülőút,74
Déli elkerülő út,22
Déligát utca,1
Déli ipartelep,1
Deli Károly utca,1
Déli kiskörút,1
Déli köz,2
Déli Külhatár utca,3
Déli lejáró,1
Deli Mátyás utca,1
Déli összekötő út,5
Déli part,1
Déli sor,14
Délisor utca,1
Déli szervizút,3
Déli telep,1
Délitemető utca,1
Déli út,13
Déli utca,17
Déli útgyűrű,18
Délivárosi út,5
Déli Vasút utca,1
Dellő utca,1
Déllő utca,1
Délőhomok dűlő,1
Delta köz,1
Delta telep,6
Delta út,1
Delta utca,11
Dél utca,5
Délvidéki utca,1
Délvidék utca,1
Dely Mátyás utca,2
Dembinszky József út,1
Dembinszky József utca,1
Dembinszky utca,33
Dembrovszky tanya,2
Demcsa Pál utca,1
Demecser-Borzsova közötti kerékpárút,1
Deméndi utca,1
Demeteresi utca,2
Demeter Ferenc utca,1
Demeter István utca,2
Demeter utca,8
Demjén István utca,2
Demjéni út,2
Demjén utca,4
Demokrácia utca,1
Démusz-villa utca,1
Dénár utca,2
Dencsházai út,3
Dénesfai út,1
Dénesikert utca,1
Dénes tanító utca,2
Dénes utca,4
Denevér dűlő,1
Denevér köz,2
Denevér-ösvény,1
Denevér út,6
Denevér utca,4
Dengelegi út,1
Denka köz,1
Denk Gusztáv utca,1
Denkpáli bukó,1
Dera köz,1
Dera utca,2
Dercefű utca,2
Derce köz,1
Derce utca,1
Dercsi út,2
Derecske dűlő,2
Derecskei út,1
Derecskei utca,4
Dereglye köz,1
Dereglye utca,6
Derekas István köz,1
Derekassy István utca,1
Derékerdő út,1
Derék-réti út,3
Deréksor út,3
Derék út,1
Derék utca,35
Derencsényi,1
Derengő utca,1
Derenki utca,1
Derényi Lajos utca,1
Deres sétány,1
Deres utca,7
Dergiták útja,1
Déri Frigyes sétány,8
Déri Miksa körút,2
Déri Miksa köz,1
Déri Miksa utca,13
Dériné utca,1
Dér István utca,1
Déri tér,2
Derítő utca,1
Derje dűlő,1
Derkovics utca,1
Derkovits fasor,9
Derkovits Gyula köz,1
Derkovits Gyula tér,4
Derkovits Gyula utca,19
Derkovits köz,1
Derkovits sor,5
Derkovits tér,2
Derkovits út,1
Derkovits utca,10
Déroldal utca,1
Derschner köz,1
Derű köz,1
Derült utca,1
Derűsdomb utca,1
Derű sétány,1
Derűs köz,1
Derűs utca,2
Dér utca,23
Derű utca,7
Dervis köz,1
Déryné köz,4
Déryné út,11
Déryné utca,59
Déry Tibor utca,8
Derzsi Kovács Jenő utca,1
Derzsi utca,6
Désány István utca,3
Deseda utca,1
Désháza utca,1
Dési Huber István utca,4
Dési Huber utca,8
Dési utca,2
Desseő Gyula utca,2
Dessewffy Arisztid sor,1
Dessewffy Arisztid utca,14
Dessewffy dűlő,1
Dessewffy köz,1
Dessewffy utca,21
Dés utca,2
Deszkásoldal dűlő,2
Deszkás utca,1
Détai utca,1
Detrekő utca,5
Dettai utca,1
Dettre János utca,2
Dévai Bíró Mátyás tér,1
Dévai Bíró Mátyás utca,3
Dévai Gyula utca,2
Dévai Sándor utca,1
Dévai utca,16
Déva utca,5
Dévaványai földút,6
Dévaványai út,1
Dévaványai utca,1
Dévaványa utca,1
Devecser,2
Devecseri Gábor park,2
Devecseri Gábor utca,1
Devecseri köz,1
Devecseri utca,5
Dévényi Antal utca,8
Dévényi utca,9
Dévény utca,7
Dévér köz,1
Dévér park,3
Dévér út,2
Dévér utca,14
Devich Sándor utca,1
Dézsa dűlő,1
Dézsa utca,7
Dézsi András utca,1
Dézsmaház utca,4
Dézsma kert,1
Dézsmakert utca,1
Dézsma köz,1
Dézsmás dűlő,1
Dézsmáskert utca,1
Dézsma sor,4
Dézsmaszéki utca,1
Dézsmaszék kertsor,1
Dézsma utca,7
Dezső dűlő,1
Dezsőfia utca,2
Dezső Kázmér utca,1
Dezső Lajos utca,1
Dezső utca,6
DH bringa lejtőpálya,1
Diadal tér,5
Diadal utca,6
Diákhegy utca,1
Diák köz,4
Diák park,1
Diák út,2
Diák utca,8
Diana köz,3
Diana sétány,3
Diána tér,1
Diana utca,16
Diána utca,1
Diási köz,1
Diás tér,2
Dicenty Dezső utca,1
Dicsőfi utca,1
Diebold Károly utca,1
Dienesfalvi út,1
Dienes János utca,1
Dienes Lajos utca,5
Dienes út,1
Dienes utca,3
Dienes Valéria utca,1
Dietzl lépcső,1
Dig,13
Dig Someș,1
Díjasnyereg út,3
Díjnok utca,1
Dimitrovhegy dűlő,5
Dimitrov út,1
Dimitrov utca,1
Dinamit tér,2
Dinamó utca,2
Diner István utca,1
Dinka-kereszt utca,1
Dinka utca,1
Dinnyehegyi köz,1
Dinnyehegyi út,3
Dinnyelaposi üdülősor,1
Dinnyés dűlő,2
Dinnyéshalom dűlő,1
Dinnyéshalom utca,1
Dinnyésháti út,1
Dinnyési út,2
Dinnyés köz,1
Dinnyés Lajos utca,2
Dinnyés utca,7
Dinnye utca,4
Dióéri utca,1
Dióér utca,2
Diófa dűlő,3
Diófa köz,17
Diófakút utca,2
Diófa lejtő,2
Diófa sétány,1
Diófás köz,1
Diófa sor,7
Diófasor út,4
Diófasor utca,15
Diófás tér,1
Diófás út,10
Diófás utca,7
Diófa út,8
Diófa utca,312
Dió köz,2
Dióliget köz,1
Dióliget utca,1
Diós,1
Diós-allé,1
Diós árok,12
Diós-árok köz,1
Diósdi út,49
Diósdi utca,2
Diósd Saints Amerikai Football,1
Diós dűlő,2
Diósgyőri utca,3
Dióshegyi utca,1
Diósi köz,1
Diósi út,7
Diósi utca,6
Dióskál utca,1
Diós köz,1
Dióskút dűlő,1
Diós-kúti-völgy,1
Diósmalom utca,2
Diósok utca,1
Dió sor,2
Dióssy Márton utca,1
Diós tér,1
Diós út,7
Diós utca,20
Diósváridűlő,1
Diósvölgy dűlő,3
Diósvölgyi út,2
Diósvölgyi utca,1
Diósy Lajos utca,2
Diószeghi István utca,1
Diószegi Balázs utca,3
Diószegi dűlő,1
Diószegi Sámuel út,1
Diószegi Sámuel utca,6
Diószegi út,6
Diószegi utca,2
Diótörő út,4
Diótörő utca,5
Dió út,4
Dió utca,19
Dischka Győző utca,1
Díszes utca,1
Díszfaiskola utca,1
Díszfű utca,1
Díszlet utca,1
Disznófő-sor,1
Disznófő út,3
Disznóhegyi dűlő,2
Disznókút észak tanya,1
Disznókút kelet tanya,1
Disznókút nyugat tanya,1
Disznós dűlő,1
Disznós-völgy,1
Dísz tér,22
Dísztó sétány,1
Dísz út,1
Ditrói köz,1
Ditrói Mór utca,2
Ditró utca,1
Ditzingen tér,1
Ditz-malom utca,2
DMRV Vízmű,1
D-nyiladék,7
Dobai utca,1
Dobány utca,3
Doba utca,1
Dobay Károly utca,1
Dobay utca,2
Doberdó út,9
Doberdó utca,4
Doberdó zug,1
Doberman utca,1
Dobi dűlő,1
Dobi István utca,4
Dobner Nándor utca,1
Dobó Ferenc út,1
Dobogó dűlő,7
Dobogó-erdő tanösvény,6
Dobogói út,1
Dobogókői út,51
Dobogókői völgyhíd,1
Dobogókő utca,1
Dobogó köz,3
Dobogó szőlőhegy,1
Dobogó tér,1
Dobogó út,7
Dobogó utca,11
Dobó István körút,6
Dobó István köz,3
Dobó István lakótelep,1
Dobó István telep,1
Dobó István tér,17
Dobó István út,24
Dobó István utca,268
Dobokai út,1
Dobó Katalin köz,1
Dobó Katalin út,4
Dobó Katalin utca,23
Dobó Kata út,3
Dobó Kata utca,1
Dobó Katica köz,2
Dobó Katica út,10
Dobó Katica utca,40
Doboka utca,1
Dobokay utca,1
Dobó köz,14
Dobóköz út,2
Döbönkút dűlő,3
Dobontai dűlő,1
Doborgaz utca,2
Doborjáni utca,1
Dobó Sándor utca,1
Dobos András utca,2
Dobos István utca,5
Dobós István utca,1
Dobosi utca,1
Dobos Károly tér,1
Dobos Károly utca,1
Doboskert utca,2
Dobos köz,2
Dobosok útja,1
Dobostanya,1
Dobos utca,8
Dobó tér,3
Dobó út,19
Dobó utca,126
Dobó várkapitány utca,1
Dobozgyár utca,2
Dobozi Mihály utca,25
Dobozi sor,1
Dobozi út,15
Dobozi utca,15
Doboz utca,2
Dobrai út,1
Dobranská,1
Dobrányi Károly út,1
Dobra utca,3
Döbrei János út,1
Döbrentei Gábor utca,3
Döbrentei tér,4
Döbrentei utca,5
Döbrési dűlő,1
Döbrés utca,1
Dobritsgrabenweg,1
Döbrőce utca,2
Dobroda út,1
Döbrög puszta,1
Döbröközi utca,2
Dobroszláv Lajos utca,1
Dobsa Lajos utca,1
Dobsinai utca,4
Dobsina út,1
Dobsina utca,4
Dobszai út,4
Dob út,2
Dob utca,33
Dobverő utca,1
Dóci út,1
Dóci utca,1
Dock 2. porta átjáró,1
Dóczy József utca,9
Dóczy Lajos utca,1
Dóczy Miklós utca,1
Dodola utca,1
Dögei Benedek út,1
Dögei dűlő,1
Dohánybeváltó utca,1
Dohánykert utca,2
Dohányos utca,3
Dohánypajta utca,1
Dohány sor,2
Dohány út,2
Dohány utca,69
Dohnányi Ernő utca,2
Dohy János utca,4
Dóka Zoltán utca,2
Dokk utca,1
Doktay Gyula utca,3
Doktor Molnár István utca,1
Doktor utca,1
Dókus utca,5
Dolánci út,1
Dolányi út,1
Dolgos utca,2
Dolgovaške gorice,1
Dolgovaške Gorice,2
Dolgozók utca,1
Dolgozók útja,24
Dolgozó út,8
Dolhai út,2
Dolhai utca,2
Dolinai út,2
Dolinai utca,4
Dolina köz,2
Dolina lejtő,1
Dolina utca,10
Dolinka – Csák-hegy vonalszakasz,1
Dollár utca,4
Dolmány utca,5
Dologház utca,2
Dolomit utca,3
Dolovai sor,1
Domaháza utca,1
Domaházi út,2
Domanjševci,9
Domanovszky Endre tér,1
Domaszéki út,1
Domaszék köz,1
Domaszék utca,1
Dombalja utca,13
Dombay János utca,1
Dombay utca,6
Domb dűlő,1
Dombföldi utca,1
Dombföld utca,1
Dombhajlat utca,1
Dombhát dűlő,1
Dombhát köz,1
Dombhát út,2
Dombhát utca,18
Dombiföld utca,1
Dombi Lajos utca,1
Dombi Márton utca,1
Dombi Sámuel utca,1
Dombi sétány,1
Domb köz,5
Dombköz utca,3
Domb lakópark,4
Dombóc dűlő,1
Dombocska köz,2
Domboldal köz,2
Domboldal utca,9
Dombó Pál utca,6
Dombori út,4
Dombori utca,1
Domború utca,1
Dombosi út,2
Dombos utca,17
Dombóvári köz,1
Dombóvári út,56
Dombóvári utca,8
Dombrádi út,1
Dombrádi utca,2
Dombszer utca,1
Dombtető út,2
Dombtető utca,9
Domb út,4
Domb utca,164
Domby Lajos utca,3
Döme Károly utca,1
Domján Edit utca,2
Domokos Jakab utca,1
Domokos János sétány,1
Domokoskert utca,1
Domokos Lajos utca,4
Domokos Márton út,3
Domokos utca,2
Domolospuszta,1
Domolykó köz,1
Domolykó utca,2
Domonkos utca,3
Dömörkapui út,7
Dömörkapu út,10
Domoszlói utca,1
Domoszló köz,1
Domoszló lejtő,1
Domoszló útja,4
Dömötör utca,4
Dömsödi út,9
Dömsödi utca,4
Dóm tér,8
Donáti köz,2
Donáti lépcső,1
Donáti utca,6
Donátusi út,4
Donátus köz,3
Donát út,3
Donát utca,10
Donauradweg,1
Donga dűlő,1
Donga híd,1
Donga köz,1
Donga sor,1
Donga út,1
Donga utca,8
Dongó alsó,1
Dongó dűlő,1
Dongó köz,3
Döngölt-árok,1
Dongó tető,1
Dongó út,1
Dongó utca,7
Doni út,7
Donkó Géza dűleje,1
Donszky Árpád utca,1
Döntő utca,1
Dóra köz,2
Dóra Sándor körút,3
Dóra tér,1
Dóra utca,3
Dorfmeister utca,1
Dörgicsei út,1
Dorgó út,1
Dóri út,1
Dorkó-Alsó dűlő,1
Dorkó dűlő,1
Dorkó-Felső dűlő,1
Dorkói út,1
Dormánd utca,3
Dorna utca,5
Dörney dűlő,4
Dornyai Béla utca,5
Dornyai utca,2
Dörögdi utca,1
Doroghegy utca,1
Dorogiás utca,1
Dorogi Imre utca,1
Dorogi köz,3
Dorogi Márton utca,1
Dorogi út,24
Dorogi utca,11
Dorogpuszta,2
Doromb utca,2
Dorongósi utca,2
Döröskei utca,2
Dorosmai János utca,1
Doroszlói utca,5
Dorottya utca,19
Dorozsmai út,45
Dorozsmai utca,14
Dorozsma köz,1
Dorozsma utca,1
Dorschner utca,2
Dőry Ádám utca,1
Dőry Hugó utca,1
Dörzsik utca,1
Dósai Molnár Mihály utca,1
Dósa Imre utca,1
Dósa nádor tér,3
Dósa tanya,1
Dósa utca,4
Dozmat utca,1
Dózsa dűlő,1
Dózsa Györgyi út,1
Dózsa György körút,4
Dózsa György köz,19
Dózsa György rakpart,7
Dózsa György tér,47
Dózsa György út,832
Dózsa György utca,2294
Dózsa György útja,4
Dózsa hegy,4
Dózsai út,1
Dózsakert utca,6
Dózsa körút,3
Dózsa köz,35
Dózsaliget utca,5
Dózsa sor,2
Dózsa telep,17
Dózsa-telep,1
Dózsatelepi utca,1
Dózsa tér,14
Dózsa Tsz-tanya,1
Dózsa út,24
Dózsa utca,268
Dr. Abay Frigyes köz,1
Dr. Abay Frigyes utca,1
Dr. Ábrahám Béla utca,2
Dr. Ádám István park,2
Dr. Adler Ignác utca,2
Drágakerti utca,1
Dragán utca,3
Drága utca,1
Drágffy János utca,4
Drágfi köz,1
Drágfy köz,1
Drágszélpuszta,1
Drahos István utca,3
Dr. Alföldi József tér,1
Dr. Ambró Gyula utca,1
Dr. Antal Károly út,1
Dr. Antall József park,2
Drapál János utca,1
Dr. Aszalós Imre utca,1
Drávacsehi utca,1
Drávafok utca,1
Dráva köz,2
Dráva part,2
Drávaszabolcsi gátőrjárás töltésszakasza,5
Drávaszabolcsi út,2
Dráva utca,46
Dravska,2
Dravska ulica,1
Drávucz dűlő,1
Dr. Babicz Béla utca,4
Dr. Babócsay utca,2
Dr. Bacsóka Pál utca,1
Dr. Bácsújlaky Dezső utca,1
Dr. Bády István utca,1
Dr. Bakó Ferenc utca,1
Dr. Bakonyi Károly utca,1
Dr. Bálint Gábor utca,1
Dr. Balogh János utca,1
Dr. Balogh Kálmán utca,1
Dr. Banner János utca,1
Dr. Barabás Géza utca,1
Dr. Barabás István út,1
Dr. Bárány László út,1
Dr. Baráth Károly utca,1
Dr. Baróti Lajos utca,1
Dr. Bartucz Lajos utca,1
Dr. Batthyány-Strattmann László utca,8
Dr. Becsey Oszkár utca,2
Dr. Bedő Albert utca,1
Dr. Bedő István utca,2
Dr. Bedy Vince utca,1
Dr. Békési Panyik Andor utca,4
Dr. Belák Sándor utca,1
Dr. Belon Gellért utca,1
Dr. Berentey Ernő utca,1
Dr. Berényi Imre utca,2
Dr. Béres József sétány,2
Dr. Berze Nagy János utca,2
Dr. Bodó Tibor köz,1
Dr. Both Ödön utca,1
Dr. Brusznyai Árpád utca,3
Dr. Csanádi György utca,2
Dr. Csányi László körút,20
Dr. Csapody István út,4
Dr. Cséby Antal utca,1
Dr. Csendes Béla tér,1
Dr. Csiba József utca,1
Dr. Csókási Béla tér,1
Dr. Deák István utca,2
Dr. Dicsőfi Endre utca,2
Dr. Dombay János utca,2
Dr. Dunay Alajos utca,1
Dr. Durst János utca,1
Drégelyi utca,5
Drégely köz,1
Drégelypalánk utca,1
Drégely utca,4
Drégelyvár utca,11
Dreher Antal út,14
Dréher utca,1
Dr. É. Kiss Sándor utca,1
Dr. Elek István utca,1
Dr. Éllő Lajos utca,1
Dr. Endrey Béla utca,1
Drenka dűlő,1
Drenkahegy utca,1
Dr. Entz Ferenc utca,2
Dr. Eperjessy Pál utca,1
Drescher Ede utca,1
Dreyfus-Magdalener Pfad,1
Dr. Farkas Márta utca,1
Dr. Fehér János utca,2
Dr. Feichtinger Sándor utca,3
Dr. Ferenczy Sándor utca,1
Dr. Fodor József utca,1
Dr. Földi János utca,3
Dr. Forbáth Imre utca,1
Dr. Főző József köz,1
Dr. Francisci Dániel utca,1
Dr. Frank Kálmán utca,1
Dr. Frank Mária utca,1
Dr. Fülöp Valter utca,1
Dr. Galaczi András utca,1
Dr. Gáspár István köz,1
Dr. Géfin Lajos tér,3
Dr. Gerbert Ottó utca,1
Dr. Gergely Rezső lejtő,2
Dr. Gönczy Gyula utca,2
Dr. Gonda Sándor utca,1
Dr. Görgő Tibor utca,2
Dr. Góth Endre út,2
Dr. Grätzer István utca,1
Dr. Grimm Ferenc tér,1
Dr. Gruber Béla utca,1
Dr. Guba Sándor utca,27
Dr. Gyimóthy Jenő utca,1
Dr. Győry Nagy Lajos lépcsősor,3
Dr. Gyulay Gyula utca,1
Dr. Gyurmán Emil park,1
Dr. Hadnagy Albert utca,1
Dr. Hajdu Imre tér,1
Dr. Halász Mihály utca,1
Dr. Hans Messer utca,1
Dr. Hanusz Béla utca,2
Dr. Harrer Ferenc utca,7
Dr. Haug Antal utca,1
Dr. Hegedűs Ádám utca,2
Dr. Hegedűs Lajos sétány,1
Dr. Heim Pál utca,1
Dr. Hermann Egyed utca,1
Dr. Hibay Károly utca,2
Dr. Hidasi László utca,1
Dr. Hirling Ádám utca,1
Dr. Hirn Márton utca,1
Dr. Holéczy Zoltán utca,1
Dr. Holló Lajos utca,6
Dr. Horváth Béla köz,2
Dr. Horváth Mihály út,1
Dr. Horváth Tibor utca,1
Dr. Hudovernig Károly út,1
Dr. Huszti Dezső utca,2
Dr. Imre József utca,2
Dr. István Lajos körút,3
Dr. Ivády Sándor tér,1
Drive in,1
Drive-in,1
Drive In,3
Drive In Arena,2
Drive-through,1
Drive Thru,3
Drivingcamp út,1
Dr. Izsó utca,1
Dr. Jáhn Ferenc utca,1
Dr. Jancsó Benedek utca,1
Dr. Jantsek Gyula út,1
dr. Jócsik Lajos utca,1
Dr. Kálló Antal út,1
Dr. Kalocsay Kálmán utca,2
Dr. Kapor Elemér utca,1
Dr. Kaposváry György utca,12
Dr. Kapuy Miksa utca,1
dr. Karafiáth Jenő utca,1
Dr. Kasper Károly út,1
Dr. Kemény Ferenc utca,2
Dr. Kemény József utca,1
Dr. Kerbolt László utca,1
Dr. Király János utca,1
Dr. Kiss Ágoston utca,1
Dr. Kiss István utca,1
Dr. Kiss Károly utca,1
Dr. Kiss Sándorné utca,1
Dr. Kluge Endre út,1
Dr. Koch László utca,6
Dr. Koch Valéria utca,1
Dr. Kollárszky Miklós utca,1
Dr. Kolta László utca,6
Dr. Koncz János tér,6
Dr. Kónya János utca,1
Dr. Kopár István,1
Dr. Korányi Frigyes utca,2
Dr. Kőrössy László utca,1
Dr. Kóta József utca,3
Dr. Kovács Lajos sétány,1
Dr. Kovács Nándor utca,1
Dr. Kovács Pál utca,1
Dr. Kovács-Sebestény Gyula utca,1
Dr. Kováts Ferenc út,1
Dr. Köves János sétány,2
Dr. Köves János utca,1
Dr. Kronberg János utca,2
Dr. Kuli András utca,1
Dr. Lakos Imre utca,1
Dr. László Elek lakótelep,10
Dr. Léber Lajos utca,1
Dr. Legindi István utca,2
Dr. Lénárt Gyula út,3
Dr. Lengyel Lajos utca,3
Dr. Lenkei Vilmos utca,1
Dr. Lévai Sándor utca,1
dr. Limbek Ferenc utca,1
Dr. Lotz János utca,1
Dr. Ludvik Endre tér,1
Dr. Lukács Gáspár utca,1
Dr. Lumniczer Sándor utca,3
Dr. Madai Gyula utca,1
Dr. Magyar Pál utca,1
Dr. Majorossy Imre utca,5
Dr. Manninger Vilmos sétány,2
Dr. Mátéffy Ferenc utca,1
Dr. Melich János utca,5
Dr. Menyes János utca,1
Dr. Mészáros Lajos utca,3
Dr. Michelberger Pál út,3
Dr. Mikolits Ferenc utca,1
Dr. Mohi Rezső utca,7
Dr. Moll Károly tér,2
Dr. Molnár János útja,1
Dr. Molnár út,6
Dr. Monszpart László utca,2
Dr. Múró László utca,1
Dr. Mustó Sándor utca,1
Dr. Nagy György utca,2
Dr. Nagy Gyula utca,1
Dr. Nagy István utca,1
Dr. Nagy János utca,1
Dr. Nagy Lajos utca,2
Dr. Nagy Mór utca,2
Dr. Nánási Lajos utca,1
Dr. Nebenführer László lejtő,2
Dr. Négyesi László utca,1
dr. Németh Viktor utca,1
Dr. Némethy Ernő sétány,6
Dr. Niedermann Gyula utca,1
Dr. Noszkay Aurél sétány,1
Dr. Noszkay Aurél út,2
Dr. Novák Sándor utca,1
Dr. Orbán István utca,1
Dr. Osvai László utca,1
dróthíd,1
Drótos utca,1
Dr. Óvári Ferenc utca,12
dr. Palkó István köz,1
Dr. Pálos Károly utca,1
Dr. Pándy Kálmán utca,1
Dr. Papp Elemér utca,2
Dr. Papp Károly tér,1
Dr. Papp Simon út,1
Dr. Papp Zoltán utca,1
Dr. Pável Ágoston sétány,3
Dr. Pécsi Gyula utca,1
Dr. Pesthy Frigyes utca,1
Dr. Petényi László utca,1
Dr. Pető Ernő utca,1
Dr. Petz Lajos utca,3
Dr. Pikó Béla utca,1
Dr. Pilissy Elemér utca,1
Dr. Piszár Antal utca,1
Dr. Pongrácz Sándor utca,1
Dr. Pósta Sándor utca,1
Dr. Puky Árpád utca,2
Dr. Rapcsák András út,1
Dr. Rapcsák András utca,1
Dr. Remetei Filep utca,1
Dr. Révész Géza utca,1
Dr. Riesz József utca,2
Dr. Ringelhann György tér,1
Dr. Róth Emil utca,1
Dr. Rudnai Ilona utca,1
Dr. Sáfár László utca,2
Dr. Sándor Imre utca,1
Dr. Sarkady László utca,1
Dr. Sárközi Ferenc utca,1
Dr. Sassy Dobray Gábor út,1
Dr. Schulhof Frigyes sétány,2
Dr. Schulhoff Vilmos sétány,3
Dr. Schultheisz Frigyes sétány,1
Dr. Schweitzer utca,1
Dr. Sebestény Gyula út,6
Dr. Sebestyén Gyula út,1
Dr. Serényi Antal utca,1
Dr. Simontsits utca,1
Dr. Skultéti István utca,4
Dr. Soós István utca,1
Dr. Szabolcs Zoltán utca,1
Dr. Szakáll Gyula utca,1
Dr. Szakály Ferenc utca,1
Dr. Szalay Elemér utca,1
Dr. Szám István tér,2
Dr. Szemes Zoltán utca,1
Dr. Szentendrey Edgár utca,1
Dr. Szent-Györgyi Albert utca,1
Dr. Szerdahelyi Elek utca,1
dr. Szikszai István utca,3
Dr. Szilády Áron utca,1
Dr. Szilágyi Ferenc üdülőtelep,3
Dr. Szilvássy Gyula utca,1
Dr. Szlovencsák Imre út,3
Dr. Szobonya Zoltán utca,2
